Sample: [(('Lisbon', 'could_be_part_of', 'United Kingdom'), ('French', 'spoken_in', 'United Kingdom'), ('United Kingdom', 'same_type_as', 'Iceland'), ('London', 'could_be_part_of', 'United Kingdom'), ('French', 'spoken_in', 'United Kingdom'), ('London', 'same_type_as', 'Copenhagen'), ('Irish', 'spoken_in', 'Iceland'), ('Iceland', 'same_type_as', 'United Kingdom'), ('Copenhagen', 'could_be_part_of', 'Iceland'), ('Copenhagen', 'same_type_as', 'London')), (('Lisbon', 'could_be_part_of', 'Greece'), ('Dutch', 'spoken_in', 'Greece'), ('Greece', 'same_type_as', 'Serbia'), ('Copenhagen', 'could_be_part_of', 'Greece'), ('Dutch', 'spoken_in', 'Greece'), ('Copenhagen', 'same_type_as', 'Dublin'), ('Irish', 'spoken_in', 'Greece'), ('Greece', 'same_type_as', 'Serbia'), ('Lisbon', 'could_be_part_of', 'Greece'), ('Lisbon', 'same_type_as', 'Budapest')), (('Paris', 'could_be_part_of', 'Serbia'), ('Norwegian', 'spoken_in', 'Serbia'), ('Serbia', 'same_type_as', 'Greece'), ('Amsterdam', 'could_be_part_of', 'Serbia'), ('Norwegian', 'spoken_in', 'Serbia'), ('Amsterdam', 'same_type_as', 'Madrid'), ('English', 'spoken_in', 'Serbia'), ('Serbia', 'same_type_as', 'Ukraine'), ('Dublin', 'could_be_part_of', 'Serbia'), ('Dublin', 'same_type_as', 'Madrid')), (('Amsterdam', 'could_be_part_of', 'Serbia'), ('German', 'spoken_in', 'Serbia'), ('Serbia', 'same_type_as', 'Norway'), ('Paris', 'could_be_part_of', 'Serbia'), ('German', 'spoken_in', 'Serbia'), ('Paris', 'same_type_as', 'Bern'), ('German', 'spoken_in', 'Serbia'), ('Serbia', 'same_type_as', 'Ukraine'), ('Madrid', 'could_be_part_of', 'Serbia'), ('Madrid', 'same_type_as', 'Amsterdam')), (('Warsaw', 'could_be_part_of', 'Sweden'), ('English', 'spoken_in', 'Sweden'), ('Sweden', 'same_type_as', 'Spain'), ('Paris', 'could_be_part_of', 'Sweden'), ('English', 'spoken_in', 'Sweden'), ('Paris', 'same_type_as', 'Dublin'), ('French', 'spoken_in', 'Spain'), ('Spain', 'same_type_as', 'Sweden'), ('Warsaw', 'could_be_part_of', 'Spain'), ('Warsaw', 'same_type_as', 'Paris'))]

Invalid graphs:
Count: 0
Sample: []

Example graph (random latent):
[('Madrid', 'could_be_part_of', 'Serbia'), ('Norwegian', 'spoken_in', 'Serbia'), ('Serbia', 'same_type_as', 'Norway'), ('Bern', 'could_be_part_of', 'Serbia'), ('Norwegian', 'spoken_in', 'Serbia'), ('Bern', 'same_type_as', 'Madrid'), ('Norwegian', 'spoken_in', 'Serbia'), ('Serbia', 'same_type_as', 'Switzerland'), ('Warsaw', 'could_be_part_of', 'Serbia'), ('Warsaw', 'same_type_as', 'Madrid')]

Semantic evaluation – graphs from random latent:
